

Test Vectors (password, salt, output) with t_cost=4 and m_cost=16
1800000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,F0A74B5E9A48142B3E3A853E537B2336F6CEF91BC1468784973BB9AA930F6CB7
1900000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,BA087E977CB7DF3565B15E4ABE5D69C4BB9885AEE75528C55BAB8FDB048B9CC6
1A00000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,448443D69C18B914CC3989DD4DA94A73A03DD90BC35A9A95A9853445E91A513F
1B00000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,EC863AB402FA211806256D039BAAC866A2DCBFBC53F8E50CA10AE6ADCE085AC7
1C00000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,7A7D645B4C001B248B0DA5AD49B074AB5BDD32D8F0D57EFDE2AD5A41DF5CDEFD
1D00000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,30E49C0D3F884255DD80A492EAE3EED4D8E063FA5423EC336B48DB2BA8E031B4
1E00000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,079B06BBBAF7829A9F52E56372FEC2FD7BEA3259E2053FA3746829F964637D2D
1F00000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,819CBD3F5DD8A8AA64819FE388301D2B595B97104EC6E2E86B2696D430D9AEFA
2000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,9D9D537CB9159F087C481AA1D6EBE40703FE7FD0662AEDF3BA4AAABA31DB3CD5
2100000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,7A21803A1613ACC49C9E7C16C7F93914619E45636E67585C68CDD1E304A11ED3
2200000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,B2CD5558C2BDB3C50FE48B384CDBB41804CE3F82B0CDA3C04082AFA51D2384C9
2300000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,A7A96E389FD040788A5E8031AC5B30E0C39F8C966EDA24F521737D33317AEFF7
2400000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,A9C98E78F01197BAC428637C868507D16F4FBDA75DFD590204894DE38F5C1588
2500000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,693416827D8B2AF447609D00582C170087FFAF8ABEFD3D2DF100F9E009CD32CB
2600000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,9908D29CC74585A8748864F88A8E1F757A37C0CF044B4DE07E94AB56F4BFFB17
2700000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,A5E704A9C83DFF53E9607C35380B0D794713C80E5616FD9BF69F75E3E6CD6E68
2800000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,34BD8A4D54CF7B02F0E8EDE3AF1383E32DC57D97CA9DF4867F7797F888C04F74
2900000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,33186664782F91C6A7B5EEA12EB4D9B50D09E3EAB0BA712DDE6AD8780E4B28DF
2A00000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,8A8A869D35405FE67043862DCCF8C2B2E28256EB780C272CB41FC914EEE4CC38
2B00000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,B763F78D6593CD3DF1CF65D9EF1FC6381178FBC993459083EBDFE185DA782CE5
2C00000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,CF19A41F28A2964E89C6F64961B3CCC15AC99E91D4E011D25ED6339CC3EED66B
2D00000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,CF14ED4422B65E428D9537E3F0C74B58A2471DC244E14C659EC2B921C74845DA
2E00000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,757CD0D22D822F75AAEC76E755C92408B06C3F8C3EB98825F0AFEAC82312BED1
2F00000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,37881DE025C41E7C4915F1F4BB5B1A7EC0A143648C00483244B106F913929477
3000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,E90010CDD634E53DEA3C4E749C3AF790F8917DDB3001594ABA5CE068E5C7EACE
3100000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,39ED7CABE4FAD32CA6490F0C7F74086CD18A33D346D5498B859FDF212A738AA4
3200000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,2427D7F2277FF1368CB0EE70062732B674BB6D4402FBFB9010B465402B21E57C
3300000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,C12F9370EF24E58E7CD9499044C85C7E946B033A1386AA38678235C9333BBFD4
3400000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,E8E18281F86B13C04AD6AD3D53FDEE66E5EC979ABB49A10A11F11934670441F6
3500000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,049C6EBBADEEB374BFB1504E77EF8205E10A6068203D26ED5432BE6B655F4393
3600000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,2B516AC259B06BC6EC0117646F5C310AA58912EC4D986A26A851C3324731537F
3700000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,F334F99E5E585AF5FADD415C905749AE08F9F5B36E470A37E26008F1D160D688
3800000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,A7BBB4A77F144FEBBF2849273B81AC3983B4FCC5D8CDD616A04F87E5ACF14090
3900000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,DC7CA1B70269893B63B84F5DE09957114CEC89A6F0CF1A1F71D4E7CA5F59E005
3A00000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,C507899CE533A3C2DAF9C6997C0DCAC764B48D2F5854DD58E66982BFF23B88C4
3B00000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,BCA034E5234899D870C717A6756CF25687E5FABED4EC24D8D540462599DA80C9
3C00000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,316484FE63488F1028C757F396B6996422A9081C5D676410F5022630740916AB
3D00000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,D65A6091F9E71EA20A70D684A061B3556B269E309609C4462834700769876338
3E00000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,13E0D7C9298D0D38CEE79B4E8CEC3A6008FB62A3AAD520719B4B5C34ABFFA5F2
3F00000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,30CCC92FF4C6EA10A43AC971FE5589C43FC5B9741539C0014D8D107FDB9415DA
4000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,C06BC3F7B6617E0D02BBEA4BBD7F09135215CD3596C8AD06DF1370185CC2C5B8
4100000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,713A76E442937A83D6D5EFEB102A99D6BD3C1C93D1DD9CBFC41E5DFE8B1067EC
4200000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,4AA02DC6E439AC440F2EA2003E809147770E16001FC39A431E2A931A56DDC63B
4300000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,CE78F3E2B3CB683127AE189AEF94CDCAA937FD42321D656B68C8E5A49C5C2B30
4400000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,D75DE8155ED415BD232741003C246B8C95D3E996C5CB9C702737272B8A448357
4500000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0290CA83E2FB93B7B5A5521290ABA5F9AC5BFE71CEF9E7141022B7403F4A9B4C
4600000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,5F22E88857D7DEA34CF085670A1E0095A7419ACEA0ED36D51D462E9B9EAD53A2
4700000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,B447D42D678E1FB2AAA97E81C70CE779C162905DE4715EB78B296046B9AA8A82
4800000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,C1E07F115486C0A85326DB84801E8E7FF67C69CEFC9BF7027CDE38A529F17563
4900000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,FCAF7D7DB1D0FD1C7017679316E3A54468383E056E4BA3F7AEE32521B25E4B4F
4A00000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,4332404783E16316769B8B264084455BED88EB72D6363B43E2BF50582270271B
4B00000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,7A587F7D7530F08E51B04321CA2076364FFE5D428D669FECABB11C38C6784D8D
4C00000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,914B3FCFCFC3EE43B6D3BF1A1B2A629E35766AFDCD0A84546D5DAC23034E6A70
4D00000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,345682AA356A86E81A0A5A3F652398653E101D1D95A2A5C6BE3D7A1C0379B0EC
4E00000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,CB6A5FECE071DAA1A5A9F4E8976D36F29C1C37B2ABC44899551E68AC24A1C870
4F00000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,C7F76EA6F47D8F71F718053495D2611F2D5F50915BD169F9E9D94254D42C3596
5000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,969447EEAFBCBED3C3112D2BEDCF0E2A9A07810ACB4443B33B637A6498C80E16
5100000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,A3DEAB98244EF70E46D21924E2F691503281DAF64D80F329106B6BE00EBFC6A0
5200000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,32272729BA9F4C39FAE6F8619C58F00AE2AED6C2C07587C80A0FCF2839EB991B
5300000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,6D8D45B15335511A41C9E07552C77467C52D79D71962A47DA3203C6DC08E893C
5400000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,AEA94E03926562099F965EE341190ABDFDC5F2FB8CA51BF9DE8AD3684E18B391
5500000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,4A93C6F3E6D815F6E33E3267F282D019B7822523A867B50BC0F1BF14E2622D83
5600000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,D9D66331B2E779E234120B540CDC0518152ED899BF3B62694ECABB3D1528DFA9
5700000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,9713E38AEDE80141D7FE86EA497E7BD5F25E6B140DF354FC889515B22096E5B3
5800000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,A808631DC77D22534D54D289177B1FD3C3CFC76FD91F69798BD1B74E952B59D6
5900000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,65A255BE45FA9D855166038746E661A337E8568947B7BBEB81B151C3B0E94AC3
5A00000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,6F7CEFAD8198BA3E2D72EA0DA4F087347E1FB7803CD6A2D5953F852DF8D602F1
5B00000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,42E6953B442776E70A414167203C0048F4912C03FA710D01B7D71A3AFC1F83F0
5C00000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,51DC006E1FD982CE189B995CB5C9AA5DD0E4FB96971F2B50C3AB12B3AC9C648E
5D00000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,DEBDD2D2CC74D97AC0CF2A07C5C8B3A94A64940C84AAC6A20E1FFE2B66DD8EC1
5E00000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,59E0942B90E05FCA8E4E9637F9C2DC674266C2086BCDC69A5957FE0049532C41
5F00000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,C35CA8A381CEB31C11BD4872FE1D5EE42A27E1CE90EFE912F1A6942D09176FDD
6000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,F579AC42EFF5FA5A25F4A6C43D04FA85E287E287A24AAF2B7B9CC2354955D674
6100000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,25055B31A47E66CFC928EA80AA933BBA6A61838102203562D8C4617A797E2852
6200000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,EE8E9A1EAC6A10F96D16D6560875EBBEE9EE698BD599D9D19412C152E661BA35
6300000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,B61CB0FDC10F5324229199348314281F005164F72C85CF33A6378DD7CF590C41
6400000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,2C2DB7AF0703DDBDF0E0B3196BEF3AC89C984A99FD7013AAA04DBB9C1DF3A137
6500000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,A65474BE2F811DDDA1B11FE4AFC4DC4A2A28774AD19EC125E3E53676B8B3F113
6600000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,5D0137D57F18D7FD07E65F1DDE9AD36A733C55C5B31731C39605084FCCCB27EE
6700000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,FB8C3925E2D442784D3317AF0890764F757E51BFC38948F151FB459F4931C653
6800000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,97514C740DA3D7800B96CAB0F3E372A1873D08391EDDC93B428D0F99F1FFDB70
6900000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,B9C64D2CF4903B3157CB1B196C50588D0C20805421A223AF543B0223136A33BA
6A00000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,CFE97BB6F5383E94A6679BA34BBC4E534F0C7180035994C1FB5986E22B36F2D1
6B00000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,7627F607A9A0F06B7BB5B0AF7E08C686BE90DF3D9A6304F8AF99AED3657DACC3
6C00000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,2F00A5C26602FE97A01BC8E1FC1213145E40DABA5310A7AD97DF7D5D0A147F1A
6D00000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,C5E1139C6E3B4C424038BED90FAD512BA97908148D74939E26B6B74FD5556C78
6E00000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,1D533F3F52D6A9EE8599AFC70AEAE577D504635F2CC02116754C5FB68C1E321A
6F00000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,60ACE81C910E4AA4E668B4678F64D93C086620C4B7083172979014C84C2DA0A6
7000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,89B678F8D52FD8D39993969D732B48E79545627FED7C58D5E303095EDF3C5314
7100000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,5A1DB3EFCA9F57C7E7F5121B0D3CA46726D19EB590FF119DA4D00EAD991EE894
7200000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,AA79CDE75412E9CF8606D72A2F62270007130255730B425607FEE18C6FA5C586
7300000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,D840480BEF23CD024F4625D553BF21B9F73482E4760CA4D811E3105AF9E8D852
7400000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,951214B9C3BE86A6E99E2CB07B948B5500B8261F2399B55A841D1FB2CB440298
7500000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,2B9B257A29E5FEDE8D01643B5097FBB3BCE0547E473E79F92171CB47728275AE
7600000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,FACA3CCA49E4A00DBE4CA29A8867731A4E3CA37B22CC0E1452556A9076038A3C
7700000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,E80609B89F206A10D97B6E114C787A77DCC071D92C5138D9B839CF82ECD96351
7800000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,C9597F2D35048BD97CF52E7A83E2D2DD8D751793741A6D5FC90A6E4F173848F3
7900000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,D0B2CD7792BC9F153EF2800CA43784F6B1435EA9B528CCEAC96F85E4E2881202
7A00000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,3293C02CF431A4952803279C1A4B331D7E511AB9A17EF7AC058841E545C45292
7B00000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,F28043C87AF441A01607DAC90E4FC30EB85690D07667D6995C7145B97B5EDCDF
7C00000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,734896201F1080DC61F96AA79F2B9F43F74112B6549B85F354316BC72C9AA346
7D00000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,6CA3D811BADD75A694071ABB8D66FEC8EA7B9218DAADAC9A1AD730FE2A2E1973
7E00000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,DF522A4312AA133A9C0209671284F6415C7D5FD7CC72015F15A94EFF6D97BF0D
7F00000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,93FD8AEC3125AC50584E745712E835CD6D28C464FDBF1C830BD5E1B0471D10B1
8000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,ECF3DCA353EF34146BD4717B01B52DEA7DA9911783255AA645855B85D1A84EE8
8100000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,3AFFFF67E8D394E916DD6542D1C4E34358164EDAF2E62ED8B898CFB72AD6FACB
8200000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,F72D13098B4902543A5AC8A2055286DB7DB3C75B0C4388B9BAD1432F1612A197
8300000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,C2D523467D1E0F07DDFE26CB923729C74502B3AD1172FE3656AECA64C1611EEE
8400000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,10EA72160F89C4C621CA0CE7060369DD3C83C418FD4EF6CD7973E0872C3D8FE0
8500000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,BE2619F6670B258648283016A1DE64DF8A715F730C8A8614187EE44F91C11E0D
8600000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,2EBC42A32E906F1D3527D2FA19B20B44ECAEA1EEC7FC78048F15B16F9AF01DBD
8700000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,163CDFF71D3F62518D4F004BB0643D748419CF51D4857AA437A9A4358275A273
8800000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,CBEC4D8AD59CC28C9CC86FC89567DF6969E663B19306E1456736B650AD231402
8900000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,963002EBEDE817153AD418F8937180368DDFA7AC8EBCFA5627EEE03246093945
8A00000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,A918E97EEDA64A0B6204C378B0AA14F5E06C8720D7FB4DA178560A85F19C43E6
8B00000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,3986F2B67F4DC438B324372152001CA39F886E60585D5281220CE5B8AFE9F903
8C00000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,5D6F7306A21A44843F39E5F6418B3DC8EE4BD3C7793EABA52B4CE0D7354074B7
8D00000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,A8635364F1DE79281F0D011C9D48AC58A2A649468CC4F11FF10B473FA873EEFE
8E00000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,DE042E0CF220EF7B32BEC201CADCFC7866901D8F5D5A076F616D376DB1EFDA07
8F00000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,11243F49079774040DC53F23FE053392314E22750B0B0E82EA2C4ED67255E0E3
9000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,2164951062E909BF0CF163B26DA17758764E7AC4D154A7F13BF6124292F413C2
9100000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,CB77E6AA9D82F1B28DD8491C3632DA970DDDD55EBC469F82F717B24A7202BDC0
9200000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,F09098C18DE9BC085B97BE07F1F5416F55AB7F3EDCACDCD7CE4788D168E77FFA
9300000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,72A4D13ADA2E37FD60762AD80CF92F3B5459863B32FE02D44E6EED7A2B834AB6
9400000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,86CB90E8BFB09FEA8F0FC6E584B2A151DE18CE458F7A2C81B5E09F07BD66E269
9500000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,AA3FB0684E575B1DD4E84E743BF78B224B6E0149A178CA4ACDA58B555A330037
9600000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,19FAB6CF277D8D2E6C0365F6430EAE6CC16EBD5446E9C39218F44A795FCB2FD6
9700000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,56AAA030B8D56C2A3A580A8BC66FFA39B3EE07E316D776FB16B58D17B6E273A0
